leads_tempo_desde_evento_anterior_mean,leads_tempo_desde_evento_anterior_std,leads_tempo_desde_evento_anterior_75,leads_tempo_desde_evento_anterior_max,leads_score_midia_mean,leads_score_midia_std,leads_score_midia_min,leads_score_midia_25,leads_score_midia_50,leads_score_midia_75,leads_score_midia_max,leads_vg_mean,leads_vg_std,leads_vg_min,leads_vg_25,leads_vg_50,leads_vg_75,leads_vg_max,leads_m2_anuncio_mean,leads_m2_anuncio_std,leads_m2_anuncio_25,leads_m2_anuncio_50,leads_m2_anuncio_75,leads_m2_anuncio_max,leads_in_dorm_mean,leads_in_dorm_75,leads_in_dorm_max,leads_dl_area_total_mean,leads_dl_area_total_std,leads_dl_area_total_50,leads_dl_area_total_75,leads_dl_area_total_max,leads_in_garagens_totais_mean,leads_in_garagens_totais_25,leads_in_garagens_totais_50,leads_in_garagens_totais_75,leads_in_garagens_totais_max,leads_in_garagens_mean,leads_in_garagens_max,leads_evento_quinta,leads_opercao_locacao,leads_finalidade_residencial,leads_tipo_ocupacao_desocupado,leads_tipo_ocupacao_nao_informado,leads_tx_estado_count,leads_imobiliaria_count,leads_qtd_pesquisas,tempo_min_lead_ate_hj,tempo_max_lead_ate_hj
80.25,128.12,108.0,378.0,17717.67,14531.33,1554.0,4612.0,17174.0,32313.0,37444.0,932750.0,788922.19,70000.0,389000.0,755000.0,1699000.0,2380000.0,3057.56,3750.98,0.0,3966.66667,5419.13633,10234.939759036144,0.88,2.0,3.0,1389.97,3502.08,210.0,493.75,10044.0,2.13,0.0,1.0,6.0,7.0,0.5,2.0,2.0,0.0,8.0,4.0,1.0,1.0,4.0,8.0,662.0,17.0
18.62,27.61,20.0,81.0,11717.25,14950.92,319.0,1028.0,13209.0,32313.0,32313.0,147695.0,205675.84,0.0,800.0,165000.01,200000.0,650000.0,2010.35,2765.87,20.0,33.33333,3666.66689,6756.09756097561,0.5,1.0,2.0,32.8,24.09,41.0,54.0,60.0,0.67,0.0,1.0,1.0,1.0,0.2,1.0,4.0,4.0,9.0,5.0,4.0,1.0,6.0,13.0,264.0,17.0
134.0,426.31,7.0,1484.0,8842.67,4793.18,3714.0,3714.0,9605.0,13209.0,13209.0,172700.0,236136.98,2200.0,2200.0,2500.0,450000.0,500000.0,1423.88,1946.61,31.42857,31.42857,3652.17391,4237.28813559322,0.38,0.0,3.0,14.75,41.72,0.0,0.0,118.0,1.25,1.0,1.0,2.0,2.0,0.13,1.0,1.0,4.0,8.0,3.0,4.0,1.0,5.0,12.0,1629.0,17.0
82.0,234.11,9.0,747.0,9023.25,7443.65,1098.0,4612.0,13209.0,17174.0,17174.0,98866.67,193405.71,0.0,1400.0,1500.0,2800.0,440000.0,1568.75,3070.25,19.44444,28.0,33.33333,6984.126984126984,1.67,3.0,3.0,39.89,54.01,0.0,70.0,144.0,1.11,1.0,1.0,1.0,2.0,0.78,2.0,4.0,6.0,9.0,2.0,7.0,1.0,8.0,10.0,840.0,17.0
0.3,0.95,0.0,5.0,10266.29,11640.73,833.0,1028.0,5753.0,17174.0,32313.0,65329.39,153263.23,750.0,1100.0,1600.0,2500.0,600000.0,841.49,1910.05,18.57143,26.08696,51.89952,8823.529411764706,1.06,2.0,5.0,12.55,28.1,0.0,0.0,120.0,0.91,1.0,1.0,1.0,2.0,0.39,2.0,6.0,22.0,33.0,8.0,23.0,1.0,12.0,34.0,33.0,17.0
102.33,177.25,307.0,307.0,13209.0,9489.073329383884,13209.0,13209.0,13209.0,13209.0,13209.0,800.0,282.84,600.0,600.0,1000.0,1000.0,1000.0,9.11,4.09,6.22045,12.0,12.0,12.0,0.0,0.0,0.0,80.38,113.67,160.76,160.76,160.76,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,324.0,17.0
25.21,42.78,22.0,153.0,12042.2,12893.0,833.0,4138.0,5753.0,17174.0,32313.0,251571.43,115205.31,0.0,240000.0,282000.0,320000.0,375000.0,3023.29,2073.04,0.0,3968.25397,4166.66667,5818.181818181818,0.71,2.0,2.0,49.18,49.65,58.0,80.0,126.0,1.17,1.0,1.0,1.0,2.0,0.5,2.0,5.0,0.0,12.0,5.0,1.0,1.0,9.0,14.0,375.0,17.0
145.35,279.51,159.0,1190.0,20898.67,10081.94,13209.0,13209.0,17174.0,32313.0,32313.0,333306.67,572019.14,2500.0,2850.0,5300.0,1000000.0,1499000.0,1968.68,3632.16,32.38636,52.0,5381.16592,12048.192771084336,0.8,3.0,3.0,121.68,110.11,108.0,170.0,348.0,1.79,1.0,2.0,2.0,3.0,0.47,2.0,0.0,9.0,15.0,4.0,8.0,2.0,8.0,20.0,2932.0,17.0
16.4,33.9,3.0,77.0,13409.33,3668.6,9845.0,9845.0,13209.0,17174.0,17174.0,1303.12,343.71,1104.68,1104.68,1104.68,1700.0,1700.0,22.43,1.02,21.25,23.01417,23.01417,23.014166666666668,0.67,2.0,2.0,58.67,18.48,48.0,80.0,80.0,1.33,1.0,1.0,2.0,2.0,0.33,1.0,0.0,3.0,3.0,0.0,3.0,1.0,3.0,5.0,101.0,17.0
45.96,178.84,20.0,935.0,12262.43,10833.29,1409.0,2503.0,13209.0,17174.0,32313.0,44706.92,105570.19,1000.0,1400.0,1700.0,1900.0,300000.0,280.93,941.51,18.88889,21.05263,26.46745,3414.381789963787,0.69,2.0,3.0,165.4,256.7,95.0,100.0,1000.0,1.33,1.0,1.0,2.0,3.0,0.38,2.0,1.0,11.0,13.0,4.0,7.0,1.0,14.0,27.0,1267.0,17.0
